iter	Passed	Remaining
0	5	5688
1	11	5507
2	23	7705
3	35	8718
4	42	8553
5	55	9199
6	65	9309
7	71	8852
8	77	8500
9	88	8774
10	106	9582
11	133	10986
12	147	11211
13	155	10970
14	168	11040
15	181	11141
16	189	10928
17	200	10952
18	205	10613
19	219	10778
20	231	10781
21	236	10528
22	294	12527
23	313	12760
24	352	13764
25	401	15059
26	415	14968
27	432	15016
28	449	15057
29	456	14749
30	463	14501
31	468	14174
32	474	13908
33	480	13638
34	484	13351
35	488	13077
36	494	12862
37	498	12623
38	502	12387
39	508	12200
40	512	11998
41	517	11798
42	524	11683
43	530	11536
44	536	11376
45	546	11335
46	552	11194
47	559	11101
48	565	10978
49	573	10893
50	579	10778
51	584	10649
52	592	10588
53	599	10494
54	609	10475
55	616	10384
56	623	10312
57	628	10213
58	634	10122
59	642	10066
60	648	9980
61	658	9963
62	666	9915
63	675	9876
64	682	9814
65	691	9778
66	696	9700
67	704	9659
68	714	9640
69	724	9622
70	729	9548
71	738	9516
72	744	9456
73	750	9392
74	766	9453
75	776	9436
76	787	9441
77	794	9390
78	806	9407
79	813	9357
80	822	9328
81	828	9275
82	838	9263
83	844	9209
84	852	9179
85	859	9136
86	864	9073
87	872	9037
88	876	8976
89	882	8920
90	887	8865
91	892	8804
92	897	8748
93	903	8707
94	908	8650
95	911	8585
96	917	8541
97	921	8478
98	925	8418
99	928	8359
100	934	8318
101	938	8261
102	942	8205
103	945	8148
104	951	8114
105	955	8060
106	960	8013
107	966	7980
108	970	7935
109	975	7890
110	979	7846
111	983	7800
112	987	7754
113	991	7706
114	996	7670
115	1000	7624
116	1004	7580
117	1008	7535
118	1013	7502
119	1017	7459
120	1020	7416
121	1025	7378
122	1030	7349
123	1036	7320
124	1040	7285
125	1046	7256
126	1050	7220
127	1054	7184
128	1058	7145
129	1063	7114
130	1067	7079
131	1071	7044
132	1075	7008
133	1080	6981
134	1084	6947
135	1088	6914
136	1093	6891
137	1098	6860
138	1102	6830
139	1107	6802
140	1111	6774
141	1115	6741
142	1119	6707
143	1122	6674
144	1127	6648
145	1131	6621
146	1135	6589
147	1139	6557
148	1144	6538
149	1148	6509
150	1152	6481
151	1156	6454
152	1162	6435
153	1166	6410
154	1171	6385
155	1177	6369
156	1182	6347
157	1186	6320
158	1189	6291
159	1194	6269
160	1198	6244
161	1202	6218
162	1205	6191
163	1210	6169
164	1213	6142
165	1217	6117
166	1221	6092
167	1226	6073
168	1231	6054
169	1235	6033
170	1241	6020
171	1246	5999
172	1249	5974
173	1253	5950
174	1258	5932
175	1262	5910
176	1266	5887
177	1269	5864
178	1274	5846
179	1278	5824
180	1282	5801
181	1285	5778
182	1290	5763
183	1295	5746
184	1300	5727
185	1306	5717
186	1310	5697
187	1314	5676
188	1318	5656
189	1322	5638
190	1326	5618
191	1330	5598
192	1334	5579
193	1338	5562
194	1343	5545
195	1347	5525
196	1350	5506
197	1355	5491
198	1360	5475
199	1364	5459
200	1369	5443
201	1376	5437
202	1381	5423
203	1388	5416
204	1393	5402
205	1398	5390
206	1404	5381
207	1408	5364
208	1412	5345
209	1416	5327
210	1420	5313
211	1425	5297
212	1429	5282
213	1434	5267
214	1440	5260
215	1444	5243
216	1448	5226
217	1453	5212
218	1456	5195
219	1460	5177
220	1463	5159
221	1467	5141
222	1471	5128
223	1475	5111
224	1479	5094
225	1482	5078
226	1487	5064
227	1491	5050
228	1496	5037
229	1500	5023
230	1505	5013
231	1509	4996
232	1513	4980
233	1516	4965
234	1521	4953
235	1525	4939
236	1529	4925
237	1535	4916
238	1540	4904
239	1543	4888
240	1547	4872
241	1553	4866
242	1562	4868
243	1571	4870
244	1580	4871
245	1586	4863
246	1591	4852
247	1596	4840
248	1601	4830
249	1605	4816
250	1609	4802
251	1613	4788
252	1618	4777
253	1621	4763
254	1626	4751
255	1630	4740
256	1637	4734
257	1642	4722
258	1646	4709
259	1651	4700
260	1655	4686
261	1659	4673
262	1663	4660
263	1670	4655
264	1674	4643
265	1677	4629
266	1684	4624
267	1688	4612
268	1694	4604
269	1701	4600
270	1706	4590
271	1710	4578
272	1717	4572
